id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;max_workingGas_M_m3;max_workingGas_TWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_GWh_per_d;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[M Nm^3];[TWh];[M m^3/d];[GWh/d];[GWh/d];[]
Carrico_3;Carrico;Carrico;2022;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;1;REN Armazenagen;;0.69;;0;0;rTPA
Caythorpe;Caythorpe;Caythorpe;2999;;http://www.caythorpegasstorage.com/caythorpe/;;Leeres Gas Feld;;1;Centrica Storage;;2.3371;;0;0;nTPA
Cellino;Cellino;Cellino;1984;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;1.2793;;9;9;rTPA
CereLaRonde;CereLaRonde;CereLaRonde;1993;;https://www.storengy.com/countries/france/en/nos-sites/cere-la-ronde.html;;Aquifer;1;1;Storengy;;13.362;;;;nTPA
Cerville;Cerville;Cerville;1970;;http://www.storengy.com/countries/france/en/;;Aquifer;1;1;Storengy;;16.7;;;;nTPA
CetateaDeBalta;Cetatea de Balta;CetateaDeBalta;;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;1.0481;;12.4;10.1;rTPA
Chemery;Chemery;Chemery;1968;;http://www.storengy.com/countries/france/en/;;Aquifer;1;1;Storengy;;0.08;;;;nTPA
Chiren_1;Chiren;Chiren;1974;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;1;Bulgartransgaz;;6.27;;47.9;47.9;rTPA
Chiren_2;Chiren;Chiren;2021;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;1;Bulgartransgaz;;9.7698;;66.1;66.1;rTPA
Collalto;Collalto;Collalto;1994;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;6.1322;;84.6;68.7;rTPA
Cornegliano;Cornegliano;Cornegliano;2017;;http://italgasstorage.it/eng/progetto.html;;Leeres Gas Feld;;1;Ital Gas Storage;;24.2;;297;297;rTPA
Cortemaggiore;Cortemaggiore;Cortemaggiore;1964;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
CugnoLeMacine;CugnoLeMacine;CugnoLeMacine;2999;;http://www.geogastock.it/ITA/Home.asp;;Leeres Feld;;1;Geogastock;;8.8;;110;110;rTPA
Damaslawek;Damaslawek;Damaslawek;2026;;http://en.gaz-system.pl//;;Salz Kaverne;;1;GAZ-SYSTEM S.A.;;5.0342;;200;100;rTPA
Damboice;Damboice;Damboice;2016;;http://www.mnd.eu/en/2014-11-26-12-13-02/mnd-group-companies;;Leeres Gas Feld;;1;Moravia Gas Storage;;4.7519;;74.2;42.4;nTPA
Daszewo_1;Daszewo;Daszewo;2009;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;1;PGNiG;;0.345;;4.4;2.8;No TPA
Daszewo_2;Daszewo;Daszewo;2999;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;1;PGNiG;;0.345;;11.5;11.5;No TPA
Deborah;Deborah;Deborah;2999;;;;Leeres Feld;;0;ENI;;50.6;;0;0;nTPA
DolniBojanovice_1;Dolni Dunajovice;DolniBojanovice;1989;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;1;innogy Gas Storage;;;;;;nTPA
DolniBojanovice_2;Dolni Bojanovice;DolniBojanovice;1999;;http://www.sppstorage.cz/#;;Leeres ?l/Gas Feld;;1;SPP Storage;;6.012;;93.9;73.1;nTPA
Elsfleth_EWE;;Elsfleth_EWE;;;;;;;;;;;;;;
Empelde_1;Empelde;Empelde;1982;;http://www.gasspeicher-hannover.de/startseite.html;;Salz Kaverne;;1;Gasspeicher Hannover;284;3.082;8.64;140.8;44.2;nTPA
Empelde_2;Empelde;Empelde;2020;;;;;;;;100;;;;;
EnergyStock;EnergyStock;EnergyStock;2011;;http://www.energystock.com/;;Salt cavern;;1;EnergyStock BV;;2.774;;252;215;nTPA
EpeH_1;Epe Uniper H-Gas;Epe_Uniper_H;1976;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;1;1;Uniper Energy Storage;;16.538;;469.2;331.2;nTPA
EpeH_10;Epe-ZES;Epe_ZES;2020;;;;;1;;Zechstein Energy Storage GmbH;177;;;;;
