id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
EpeH_9;Epe-KGE;Epe_KGE;2020;;;;;;;;;;;;;;;;;;;;
EpeL_1;Epe Uniper L-Gas;Epe_Uniper_L;1976;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeL_2;Epe innogy L-Gas;Epe_innogy_L;2012;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;;;;;;;;;;;;;;;
Eschenfelden;Eschenfelden;Eschenfelden;1976;;https://www.n-ergie.de/geschaeftskunden/produkte/erdgas/erdgasspeicher.html;;Aquifer;;;;;;;;;;;;;;;;
Etrez_1;Etrez;Etrez;2022;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;1;;;;19;1600;1117;;;;;;;;;
Etzel_1;Etzel EGL 1+2;Etzel_EGL_1_2;1993;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
Etzel_2;Etzel Crystal;Etzel_Crystal;2012;;https://www.enbw.com/unternehmen/konzern/geschaeftsfelder/speicher/gasspeicher/zahlen-daten-fakten.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Etzel_3;Etzel EKB;Etzel_EKB;2012;;http://www.ekb-storage.de/de/home/;;Salz Kaverne;;;;;;;;;;;;;;;;
Etzel_4;Etzel ESE;Etzel_ESE;2012;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
Etzel_5;Etzel-IVG;Etzel_IVG;2020;;;;;;;;;;;;;;;;;;;;
Etzel_VNG;;;2013;;;;;;;;;15;;115;;;;;;;;;
FiumeTreste_1;Fiume Treste;FiumeTreste;1982;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;57.4;84;1200;;;;72;;;;;;
FiumeTreste_2;Fiume Treste;FiumeTreste;2021;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
FiumeTreste_3;Fiume Treste F;FiumeTreste;2021;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Frankenthal;Frankenthal;Frankenthal;1979;;https://www.enovos.de/industrie/ueber-uns/erdgasspeicher;;Aquifer;;;;;;;;;;;;;;;;
Fronhofen;Fronhofen;Fronhofen;1997;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;;Storenge;;;;;;114845000;;;334500;;;223000;
