id;comment;comp_id;start_year;end_year;source;license;operator_name;pipe_name;is_H_gas;max_cap_M_m3_per_h;max_pressure_bar;max_power_MW;num_turb;turbine_fuel_isGas_1;turbine_type_1;turbine_power_1_MW;turbine_fuel_isGas_2;turbine_type_2;turbine_power_2_MW;turbine_fuel_isGas_3;turbine_type_3;turbine_power_3_MW;turbine_fuel_isGas_4;turbine_type_4;turbine_power_4_MW;turbine_fuel_isGas_5;turbine_type_5;turbine_power_5_MW;turbine_fuel_isGas_6;turbine_type_6;turbine_power_6_MW
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;INT;REAL;REAL;REAL;INT;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[num];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW]
Hostim;;Hostim;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Huegelheim;;Huegelheim;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Huegelheim;;OpenGridEurop;TENP;1;;;;;;;;;;;;;;;;;;;;;;
Huntingdon;;Huntingdon;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Hust;;Hust;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ihtiman;;Ihtiman;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Imatra;;Imatra;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Istrana;;Istrana;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ivasevichi;;Ivasevichi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Jaroslaw;;Jaroslaw;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Jauniunai;;Jauniunai;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Jeleniow;;Jeleniow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Jupa;;Jupa;2019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kardam;;Kardam;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kasachya;;Kasachya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kidricevo;;Kidricevo;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kings;;Kings;1973;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;47.2;4;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;
KipiEst;;KipiEst;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kipoi;;Kipoi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kirchberg;Wagram;Kirchberg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kirovograd;;Kirovograd;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kirriemuir;;Kirriemuir;1977;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;47.2;4;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;
Kobrin;;Kobrin;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kondratki;;Kondratki;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kouchdiet;;Kouchdiet;;;;;;Galsi;1;;;;;;;;;;;;;;;;;;;;;;
Kourim;;Kourim;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Kouvola;;Kouvola;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Krsilov;;Krsilov;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Krummhoern;;Krummhoern;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Krummhoern;;OpenGridEurop;;1;;100;;4;0;;13;0;;13;1;;13;1;;;;;;;;
Krupki;;Krupki;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
LaBegudeDeMazenc;;LaBegudeDeMazenc;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lanzhot;;Lanzhot;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Laprade;;Laprade;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lippe;;Lippe;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Lippe;;GASCADE;;1;1.15;100;40.8;3;1;SGT-400;12.9;1;SGT-400;12.9;1;SGT-400;15;;;;;;;;;
Lockerley;;Lockerley;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lozenets;;Lozenets;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lubmin;;Lubmin;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Greifswald;;GASCADE;NEL,OPAL;1;;105;76;;;;;;;;;;;;;;;;;;;
Malbroghetto;Compressor;Malbroghetto;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mallnow;;Mallnow;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Mallnow;;GASCADE;Jagal;1;3.34;100;96.2;4;1;FT8;25.4;1;FT8;25.4;1;FT8;25.4;1;FT8;20;;;;;;
Mantsala;;Mantsala;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
MaraisVernier;;MaraisVernier;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mazerolles;;Mazerolles;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Melizzano;;Melizzano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mellitah;;Mellitah;;;;;;Greenstream;1;;;;;;;;;;;;;;;;;;;;;;
MerySurCher;;MerySurCher;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Messina;;Messina;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Minskaya;;Minskaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
MittelbrunnMEGAL;;MittelbrunnMEGAL;;;;;;MEGAL;1;;;;;;;;;;;;;;;;;;;;;;
MittelbrunnTENP;;MittelbrunnTENP;;;;;OpenGridEurop;TENP;1;;;;;;;;;;;;;;;;;;;;;;
Moffat;;Moffat;1980;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;38.6;2;1;Rolls-Royce RB211s;;1;Rolls-Royce RB211s;;;;;;;;;;;;;
Montauban;;Montauban;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Montesa;;Montesa;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Montesano;;Montesano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mosonmagyarovar;;Mosonmagyarovar;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Navarra;;Navarra;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
NeaMessimvria;;NeaMessimvria;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
