name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
Simmering;;{J};Austria;48.1815;16.4334;1;2009;;Wien Energie;1272;;Gas;;;;Wien Energie;WRI1019147;http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51719;WRI;;;;2429.57;;3323.692308
Timelkam;;{J};Austria;48.0122;13.5895;1;2008;;Energie AG;400;;Gas;;;;Energie AG Ober«Ùsterreich;WRI1019163;http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf;GEODB;;;;452;;1045.18626
Donaustadt;;{J};Austria;48.2;16.4633;1;2001;;Wien Energie;395;;Gas;;;;Wien Energie;WRI1019146;http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51721;WRI;;;;1073.51;;1032.121432
DROGENBOS TGV;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;465;;Gas;;;;;WRI1002226;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;790.253;;2326.567768
HERDERSBRUG STEG;;{J};Belgium;51.2629;3.2112;1;1998;;ELIA Belgian Grid Operator;465;;Gas;;;;;WRI1002234;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;929.103;;2326.567768
Amercoeur 1 R TGV;;{J};Belgium;50.4304;4.3955;1;1994;;ELIA Belgian Grid Operator;451;;Gas;;;;;WRI1002207;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;2408.374;;2256.520566
T-power Beringen;;{J};Belgium;51.0586;5.1056;1;2011;;ELIA Belgian Grid Operator;422;;Gas;;;;;WRI1002271;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;WRI;;;;2203.896;;2111.422792
Marcinelle Energie (Carsid);;{J};Belgium;50.4138;4.4067;1;2011;;ELIA Belgian Grid Operator;405;;Gas;;;;;WRI1002258;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1150.449;;2026.365475
RINGVAART STEG;;{J};Belgium;51.1049;3.7257;1;1998;;ELIA Belgian Grid Operator;357;;Gas;;;;;WRI1002264;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1591.791;;1786.203641
SAINT-GHISLAIN STEG;;{J};Belgium;50.4719;3.8248;1;2000;;ELIA Belgian Grid Operator;350;;Gas;;;;;WRI1002267;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1328.093;;1751.18004
Zelzate 2 Knippegroen;;{J};Belgium;51.1587;3.8068;1;2010;;ELIA Belgian Grid Operator;315;;Gas;;;;;WRI1002288;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;2084.472;;1576.062036
INESCO WKK;;{J};Belgium;51.2198;4.3266;1;;;ELIA Belgian Grid Operator;138;;Gas;;;;;WRI1002244;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;695.712;;690.4652731
ANGLEUR TG 41;;{J};Belgium;50.6177;5.5837;1;;;ELIA Belgian Grid Operator;128;;Gas;;;;;WRI1002208;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;640.4315577
LANGERLO 4 REPOWERING;;{J};Belgium;50.934;5.4784;1;;;ELIA Belgian Grid Operator;86;;Gas;;;;;WRI1002255;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;430.2899528
HAM-GENT WKK;;{J};Belgium;51.05;3.7167;1;2006;;ELIA Belgian Grid Operator;52;;Gas;;;;;WRI1002231;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;260.1753203
DROGENBOS GT0;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;48;;Gas;;;;;WRI1002225;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;240.1618341
Aalst Syral GT;;{J};Belgium;50.936;4.0355;1;;;ELIA Belgian Grid Operator;43;;Gas;;;;;WRI1002204;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;215.1449764
Zwijndrecht Lanxess GT;;{J};Belgium;51.2382;4.3408;1;;;ELIA Belgian Grid Operator;43;;Gas;;;;;WRI1002290;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;215.1449764
Zeebrugge 2 Fluxys;;{J};Belgium;51.329;3.1819;1;;;ELIA Belgian Grid Operator;40;;Gas;;;;;WRI1002285;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;200.1348618
Beveren Ineos Phenolchemie;;{J};Belgium;51.2119;4.2563;1;;;ELIA Belgian Grid Operator;22.8;;Gas;;;;;WRI1002214;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;114.0768712
Zwijndrecht Lanxess ST;;{J};Belgium;51.2382;4.3408;1;;;ELIA Belgian Grid Operator;15;;Gas;;;;;WRI1002291;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;75.05057316
Aalst Syral ST;;{J};Belgium;50.936;4.0355;1;;;ELIA Belgian Grid Operator;5;;Gas;;;;;WRI1002205;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;25.01685772
DROGENBOS DM 51;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;5;;Gas;;;;;WRI1002224;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;25.01685772
Zagreb Te-To CHP Power Plant Croatia;;{J};Croatia;45.7816;16.0169;1;;;GEODB;328;;Gas;;;;;GEODB0044823;http://globalenergyobservatory.org;GEODB;2017;;;;;564.895153
Osijek TE-TO CHP Power Plant Croatia;;{J};Croatia;45.542;18.7449;1;;;GEODB;89;;Gas;;;;;GEODB0044826;http://globalenergyobservatory.org;GEODB;2017;;;;;153.2794775
Zagreb El-To CHP Power Plant Croatia;;{J};Croatia;45.8069;15.9498;1;;;GEODB;86.8;;Gas;;;;;GEODB0044824;http://globalenergyobservatory.org;GEODB;2017;;;;;149.4905466
Jertovec CCGT Power Plant Croatia;;{J};Croatia;46.0386;16.1814;1;;;GEODB;78;;Gas;;;;;GEODB0044825;http://globalenergyobservatory.org;GEODB;2017;;;;;134.334823
Skaerbaekvaerket;;{J};Denmark;55.513;9.6128;1;1997;;ENTSOE;392;;Gas;;;;;WRI1022034;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;601.834;;1438.935201
H.C. «ü”?rsted;;{J};Denmark;55.6761;12.5683;1;;;Dong Energy;98;;Gas;;;;;WRI1022043;http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate;GEODB;;;;;;359.7338004
Svanem«ü∂˜lle;;{J};Denmark;55.7131;12.588;1;1985;;Dong Energy;81;;Gas;;;;;WRI1022045;http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate;GEODB;;;;;;297.3309982
Kiisa AREJ 2;;{J};Estonia;59.2439;24.7064;1;;;ENTSOE;250;;Gas;;;;;WRI1022394;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;;;40.78014184
IRU Elektrijaam;;{J};Estonia;59.4514;24.9246;1;;;ENTSOE;173;;Gas;;;;;WRI1022396;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;28.21985816
Vuosaari B;;{J};Finland;60.2199;25.1692;1;;;Finnish Energy Authority;485;;Gas;;;;Helsingin Energia;WRI1002594;http://www.energiavirasto.fi/en/voimalaitosrekisteri;GEODB;;;;;;1391.655839
Naantali  G1  2 ja 3;;{J};Finland;60.459;22.0545;1;;;Finnish Energy Authority;290;;Gas;;;;Turun Seudun Energiantuotanto Oy;WRI1002466;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;832.12411
Naistenlahti 2;;{J};Finland;61.4991;23.7871;1;;;Finnish Energy Authority;191.2;;Gas;;;;Tampereen S«œhk«Ùlaitos;WRI1002467;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;548.6280339
Martinlaakso;;{J};Finland;60.2833;24.8364;1;;;Finnish Energy Authority;171.7;;Gas;;;;Vantaan Energia Oy;WRI1002450;http://www.energiavirasto.fi/en/voimalaitosrekisteri;GEODB;;;;;;492.674861
Vuosaari A;;{J};Finland;60.2199;25.1692;1;;;Finnish Energy Authority;163;;Gas;;;;Helsingin Energia;WRI1002593;http://www.energiavirasto.fi/en/voimalaitosrekisteri;GEODB;;;;;;467.7111377
Lielahti;;{J};Finland;61.4991;23.7871;1;;;Finnish Energy Authority;142;;Gas;;;;Tampereen S«œhk«Ùlaitos;WRI1002442;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;407.4538745
Kirkniemi;;{J};Finland;60.1843;23.946;1;;;Finnish Energy Authority;128;;Gas;;;;Sappi Finland Oy;WRI1002397;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;367.2823658
Porvoo kt 2;;{J};Finland;60.3067;25.5506;1;;;Finnish Energy Authority;120.6;;Gas;;;;Neste Oil Oy;WRI1002502;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;346.048854
Nokia kombi;;{J};Finland;61.4667;23.5;1;;;Finnish Energy Authority;72;;Gas;;;;Lepp«œkosken S«œhk«Ù Oy;WRI1002470;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;206.5963308
Joensuu;;{J};Finland;64.6667;27.1333;1;;;Finnish Energy Authority;68;;Gas;;;;Fortum Power and Heat Oy;WRI1002357;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;195.1187568
Myllykoski vp;;{J};Finland;65.9667;29.1833;1;;;Finnish Energy Authority;32.8;;Gas;;;;UPM;WRI1002461;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;94.11610623
Lappeenranta kombi;;{J};Finland;61.0587;28.1887;1;;;Finnish Energy Authority;26.3;;Gas;;;;UPM-Kymmene Oyj;WRI1002433;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;75.46504859
Tako T2 ja T5;;{J};Finland;61.4991;23.7871;1;;;Finnish Energy Authority;16.5;;Gas;;;;Mets«œ Board Oyj;WRI1002554;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;47.34499246
Ikaalinen;;{J};Finland;61.7695;23.0658;1;;;Finnish Energy Authority;6;;Gas;;;;Lepp«œkosken S«œhk«Ù Oy;WRI1002348;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;17.2163609
Koneharju kt;;{J};Finland;60.9827;25.6615;1;;;Finnish Energy Authority;4.6;;Gas;;;;Lahti Energia Oy;WRI1002408;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;13.19921002
Kerava;;{J};Finland;60.4034;25.105;1;;;Finnish Energy Authority;3.7;;Gas;;;;Keravan Energia Oy;WRI1002391;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;10.61675589
Haapavesi;;{J};Finland;64.1333;25.3667;1;;;Finnish Energy Authority;2.7;;Gas;;;;Vapo Oy;WRI1002322;http://www.energiavirasto.fi/en/voimalaitosrekisteri;CARMA;;;;;;7.747362403
MARTIGUES PONTEAU;;{J};France;43.3585;5.0216;1;;;RTE Transmission Operator;930;;Gas;;;;;WRI1002743;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;2365.955662
EMILE HUCHET;;{J};France;49.1526;6.7018;1;;;RTE Transmission Operator;826;;Gas;;;;;WRI1002724;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;WRI;;;;;;2101.375674
DK6;;{J};France;51.0482;2.3255;1;;;RTE Transmission Operator;796;;Gas;;;;;WRI1002722;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;2025.054524
BOUCHAIN 7;;{J};France;50.2987;3.3156;1;;;RTE Transmission Operator;575;;Gas;;;;;WRI1002697;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;1462.822049
BLENOD 5;;{J};France;48.8681;6.0849;1;;;RTE Transmission Operator;427;;Gas;;;;;WRI1002695;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;WRI;;;;;;1086.304374
COMBIGOLFE;;{J};France;43.4072;4.8676;1;;;RTE Transmission Operator;425;;Gas;;;;;WRI1002711;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;1081.216297
Croix-de-Metz;;{J};France;48.675;5.8917;1;;;RTE Transmission Operator;413;;Gas;;;;;WRI1002715;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;1050.687837
Pont-sur-Sambre;;{J};France;50.2308;3.8653;1;;;RTE Transmission Operator;412;;Gas;;;;;WRI1002756;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;GEODB;;;;;;1048.143799
GENNEVILLIERS 1;;{J};France;48.9333;2.3;1;;;RTE Transmission Operator;203;;Gas;;;;;WRI1002731;http://clients.rte-france.com/lang/an/visiteurs/vie/prod/parc_reference.jsp;CARMA;;;;;;516.4397843
Gersteinwerk;;{J};Germany;51.6725;7.7099;1;;;Open Power System Data;2004.5;;Gas;;;;RWE Generation SE;WRI1005694;http://data.open-power-system-data.org/;Open Power System Data;;;;;2524.903;5109.24837
Emsland;;{J};Germany;52.4819;7.3067;1;;;Open Power System Data;1837;;Gas;;;;RWE Generation SE;WRI1005658;http://data.open-power-system-data.org/;Open Power System Data;;;;;1285.491;4682.309432
Gemeinschaftskraftwerk Irsching;;{J};Germany;48.767;11.58;1;;;Open Power System Data;1391;;Gas;;;;Gemeinschaftskraftwerk Irsching GmbH;WRI1005691;http://data.open-power-system-data.org/;Open Power System Data;;;;;560.17;3545.504856
Knapsack Natural Gas I;;{J};Germany;50.8617;6.8424;1;;;Open Power System Data;1230;;Gas;;;;Statkraft Markets GmbH;WRI1005865;http://data.open-power-system-data.org/;Open Power System Data;;;;;123.58;3135.133697
Trianel Natural Gaskraftwerk;;{J};Germany;51.6739;7.9291;1;2008;;Open Power System Data;838;;Gas;;;;Trianel Natural Gaskraftwerk Hamm GmbH & Co. KG;WRI1006074;http://data.open-power-system-data.org/;Open Power System Data;;;;;;2135.969137
Franken 1;;{J};Germany;49.4208;11.0077;1;;;Open Power System Data;823;;Gas;;;;E.ON Kraftwerke GmbH;WRI1005681;http://data.open-power-system-data.org/;Open Power System Data;;;;;397.746;2097.735799
Charlottenburg;;{J};Germany;52.5219;13.3111;1;1975;;Open Power System Data;633;;Gas;;;;Vattenfall Europe W«œrme AG;WRI1005624;http://data.open-power-system-data.org/;Open Power System Data;;;;;;1613.446854
Huckingen;;{J};Germany;51.3679;6.7167;1;;;Open Power System Data;606;;Gas;;;;H«¨ttenwerke Krupp Mannesmann GmbH;WRI1005830;http://data.open-power-system-data.org/;Open Power System Data;;;;;2165.141;1544.626846
Dormagen;;{J};Germany;51.0791;6.8287;1;2000;;Open Power System Data;586.3;;Gas;;;;RWE Generation SE;WRI1005636;http://data.open-power-system-data.org/;Open Power System Data;;;;;2193.385;1494.413729
Kraftwerk Mitte;;{J};Germany;49.5137;8.4316;1;2005;;Open Power System Data;490;;Gas;;;;BASF SE;WRI1005888;http://data.open-power-system-data.org/;Open Power System Data;;;;;1597.095;1248.9557
S«¨d GT 61;;{J};Germany;48.1351;11.582;1;2004;;Open Power System Data;444.6;;Gas;;;;SWM Services GmbH;WRI1006064;http://data.open-power-system-data.org/;Open Power System Data;;;;;;1133.236131
Mitte;;{J};Germany;52.5117;13.4209;1;1996;;Open Power System Data;444;;Gas;;;;Vattenfall Europe W«œrme AG;WRI1005948;http://data.open-power-system-data.org/;Open Power System Data;;;;;;1131.706798
Kraftwerk Mainz;;{J};Germany;50.0264;8.2379;1;2001;;Open Power System Data;434.2;;Gas;;;;Kraftwerke Mainz-Wiesbaden AG;WRI1005886;http://data.open-power-system-data.org/;Open Power System Data;;;;;552.941;1106.727684
Lichterfelde;;{J};Germany;52.4252;13.3098;1;;;Open Power System Data;432;;Gas;;;;Vattenfall Europe W«œrme AG;WRI1005934;http://data.open-power-system-data.org/;Open Power System Data;;;;;423.631;1101.120128
HKW Niehl 2;;{J};Germany;50.9749;6.988;1;2005;;Open Power System Data;413;;Gas;;;;RheinEnergie AG;WRI1005803;http://data.open-power-system-data.org/;Open Power System Data;;;;;55.48;1052.691233
Kraftwerk S«¨d;;{J};Germany;49.5136;8.4316;1;1997;;Open Power System Data;390;;Gas;;;;BASF SE;WRI1005895;http://data.open-power-system-data.org/;Open Power System Data;;;;;;994.066782
Duisburg Hamborn;;{J};Germany;51.491;6.7275;1;1958;;Open Power System Data;385;;Gas;;;;ThyssenKrupp Steel Europe AG;WRI1005641;http://data.open-power-system-data.org/;Open Power System Data;;;;;;981.322336
Rheinhafen-Dampfkraftwerk;;{J};Germany;49.013;8.304;1;1998;;Open Power System Data;353;;Gas;;;;EnBW Energie Baden-W«¨rttemberg AG;WRI1006025;http://data.open-power-system-data.org/;WRI;;;;;172.334;899.7578821
Huntorf;;{J};Germany;53.1897;8.4087;1;1978;;Open Power System Data;321;;Gas;;;;E.ON Kraftwerke GmbH;WRI1005831;http://data.open-power-system-data.org/;Open Power System Data;;;;;0.97;818.1934282
Duisburg Ruhrort;;{J};Germany;51.4597;6.7306;1;;;Open Power System Data;315;;Gas;;;;ThyssenKrupp Steel Europe AG;WRI1005642;http://data.open-power-system-data.org/;Open Power System Data;;;;;;802.9000931
Thyrow;;{J};Germany;52.2302;13.3019;1;;;Open Power System Data;296;;Gas;;;;Vattenfall Europe Generation AG;WRI1006068;http://data.open-power-system-data.org/;Open Power System Data;;;;;;754.4711986
Natural Gasblock;;{J};Germany;51.2214;6.7313;1;1976;;Open Power System Data;293;;Gas;;;;Stadtwerke D«¨sseldorf AG;WRI1005968;http://data.open-power-system-data.org/;Open Power System Data;;;;;;746.8245311
HKW III/B;;{J};Germany;51.3907;6.7478;1;2005;;Open Power System Data;274;;Gas;;;;Stadtwerke Duisburg AG;WRI1005793;http://data.open-power-system-data.org/;Open Power System Data;;;;;223.406;698.3956366
HKW Dresden-Nossener Br«¨cke;;{J};Germany;51.0421;13.7086;1;1995;;Open Power System Data;263;;Gas;;;;DREWAG Stadtwerke Dresden GmbH;WRI1005780;http://data.open-power-system-data.org/;Open Power System Data;;;;;1222.775;670.3578555
HKW Halle Trotha;;{J};Germany;51.481;11.9643;1;;;Open Power System Data;254;;Gas;;;;EVH GmbH;WRI1005789;http://data.open-power-system-data.org/;Open Power System Data;;;;;;647.4178529
GKL;;{J};Germany;52.3729;9.7142;1;;;Open Power System Data;230;;Gas;;;;Stadtwerke Hannover AG;WRI1005698;http://data.open-power-system-data.org/;Open Power System Data;;;;;134.167;586.2445124
Heizkraftwerk Hagen-Kabel;;{J};Germany;51.411;7.4917;1;1980;;Open Power System Data;230;;Gas;;;;Mark-E AG;WRI1005746;http://data.open-power-system-data.org/;Open Power System Data;;;;;179.924;586.2445124
Natural Gas Turbine #6;;{J};Germany;51.2212;6.7319;1;;;Open Power System Data;217.8;;Gas;;;;Stadtwerke D«¨sseldorf AG;WRI1005706;http://data.open-power-system-data.org/;Open Power System Data;;;;;;555.1480644
KW Kirchlengern;;{J};Germany;52.1951;8.6482;1;1980;;Open Power System Data;201.5;;Gas;;;;Energieservice Westfalen Weser GmbH;WRI1005909;http://data.open-power-system-data.org/;Open Power System Data;;;;;;513.6011707
HKW Jena;;{J};Germany;50.8969;11.5857;1;1996;;Open Power System Data;182;;Gas;;;;Th«¨ringer Energie AG;WRI1005794;http://data.open-power-system-data.org/;Open Power System Data;;;;;;463.8978316
Dampfkraftwerk BGH - O1;;{J};Germany;48.1835;12.8531;1;2001;;Open Power System Data;178;;Gas;;;;Wacker Chemie AG;WRI1005626;http://data.open-power-system-data.org/;Open Power System Data;;;;;;453.7022748
Dow Stade;;{J};Germany;53.6519;9.5079;1;2014;;Open Power System Data;173;;Gas;;;;Dow Deutschland Anlagengesellschaft mbH;WRI1005639;http://data.open-power-system-data.org/;Open Power System Data;;;;;;440.9578289
Heizkraftwerk Leipzig-Nord;;{J};Germany;51.3512;12.3784;1;1996;;Open Power System Data;167;;Gas;;;;Stadtwerke Leipzig GmbH;WRI1005751;http://data.open-power-system-data.org/;Open Power System Data;;;;;;425.6644938
Kirchm«Ùser;;{J};Germany;52.3942;12.4181;1;1994;;Open Power System Data;160;;Gas;;;;E.ON Kraftwerke GmbH;WRI1005862;http://data.open-power-system-data.org/;Open Power System Data;;;;;;407.8222695
Heizkraftwerk 2;;{J};Germany;50.0918;8.5311;1;;;Open Power System Data;152;;Gas;;;;Infraserv GmbH & Co. H«Ùchst KG;WRI1005733;http://data.open-power-system-data.org/;Open Power System Data;;;;;;387.431156
Ahrensfelde;;{J};Germany;52.5895;13.5587;1;1990;;Open Power System Data;150;;Gas;;;;Vattenfall Europe Generation AG;WRI1005574;http://data.open-power-system-data.org/;Open Power System Data;;;;;;382.3333777
HKW Sandreuth;;{J};Germany;49.4386;11.0606;1;2005;;Open Power System Data;150;;Gas;;;;N-ERGIE AG;WRI1005810;http://data.open-power-system-data.org/;Open Power System Data;;;;;;382.3333777
Heizkraftwerk Gera-Nord;;{J};Germany;50.9076;12.061;1;1996;;Open Power System Data;148;;Gas;;;;Energieversorgung Gera GmbH;WRI1005744;http://data.open-power-system-data.org/;Open Power System Data;;;;;;377.2355993
Kraftwerk III;;{J};Germany;51.6804;7.0969;1;;;Open Power System Data;139;;Gas;;;;Evonik Degussa GmbH;WRI1005884;http://data.open-power-system-data.org/;Open Power System Data;;;;;;354.2955966
HKW-Mitte;;{J};Germany;52.2786;10.5147;1;;;Open Power System Data;137.3;;Gas;;;;Braunschweiger Versorgungs-AG & Co. KG;WRI1005822;http://data.open-power-system-data.org/;Open Power System Data;;;;;;349.962485
ILK-GuD;;{J};Germany;51.2998;12.0193;1;1994;;Open Power System Data;135.7;;Gas;;;;InfraLeuna GmbH;WRI1005839;http://data.open-power-system-data.org/;Open Power System Data;;;;;;345.8842623
GuD-Ikw Sta«?furt;;{J};Germany;51.8655;11.5738;1;1996;;Open Power System Data;132;;Gas;;;;KWG-Kraftwerksgesellschaft Sta«?furt mbH;WRI1005723;http://data.open-power-system-data.org/;Open Power System Data;;;;;;336.4533724
S«¨d DT60;;{J};Germany;48.1351;11.582;1;2004;;Open Power System Data;127.6;;Gas;;;;SWM Services GmbH;WRI1006063;http://data.open-power-system-data.org/;Open Power System Data;;;;;;325.2382599
GuD Tiefstack;;{J};Germany;53.5267;10.0658;1;2009;;Open Power System Data;127;;Gas;;;;Vattenfall Europe W«œrme Aktiengesellschaft;WRI1005718;http://data.open-power-system-data.org/;Open Power System Data;;;;;;323.7089264
HKW Niederrad;;{J};Germany;50.0856;8.6279;1;2005;;Open Power System Data;126;;Gas;;;;Mainova AG;WRI1005802;http://data.open-power-system-data.org/;Open Power System Data;;;;;;321.1600372
GuD Schwarzheide;;{J};Germany;51.4762;13.8891;1;1994;;Open Power System Data;122;;Gas;;;;BASF Schwarzheide GmbH;WRI1005717;http://data.open-power-system-data.org/;Open Power System Data;;;;;;310.9644805
Heizkraftwerke an der Friedensbr«¨cke;;{J};Germany;49.8;9.9231;1;;;Open Power System Data;122;;Gas;;;;Heizkraftwerk W«¨rzburg GmbH;WRI1005763;http://data.open-power-system-data.org/;Open Power System Data;;;;;;310.9644805
GuD-Anlage R«¨sselsheim;;{J};Germany;49.992;8.4141;1;1999;;Open Power System Data;112.1;;Gas;;;;Adam Opel AG;WRI1005721;http://data.open-power-system-data.org/;Open Power System Data;;;;;;285.7304776
Wintershall;;{J};Germany;50.894;9.9972;1;1967;;Open Power System Data;109.5;;Gas;;;;K+S AG;WRI1006146;http://data.open-power-system-data.org/;Open Power System Data;;;;;;279.1033657
HKW Erfurt-Ost;;{J};Germany;50.9848;11.0299;1;;;Open Power System Data;109.1;;Gas;;;;SWE Energie GmbH;WRI1005783;http://data.open-power-system-data.org/;Open Power System Data;;;;;;278.08381
GuD Marienehe;;{J};Germany;54.1255;12.0819;1;1996;;Open Power System Data;108;;Gas;;;;Stadtwerke Rostock AG;WRI1005716;http://data.open-power-system-data.org/;Open Power System Data;;;;;;275.2800319
HKW Merkenich (Natural Gas);;{J};Germany;51.0178;6.9643;1;2004;;Open Power System Data;108;;Gas;;;;RheinEnergie AG;WRI1005801;http://data.open-power-system-data.org/;Open Power System Data;;;;;142.445;275.2800319
GuD Bitterfeld;;{J};Germany;51.6257;12.327;1;2000;;Open Power System Data;106;;Gas;;;;envia THERM GmbH;WRI1005713;http://data.open-power-system-data.org/;Open Power System Data;;;;;;270.1822536
KWH;;{J};Germany;52.3667;9.7167;1;1975;;Open Power System Data;102;;Gas;;;;Stadtwerke Hannover AG;WRI1005919;http://data.open-power-system-data.org/;Open Power System Data;;;;;6.21;259.9866968
Heizkraftwerk Hafen;;{J};Germany;51.9501;7.6413;1;2005;;Open Power System Data;100.2;;Gas;;;;Stadtwerke M«¨nster GmbH;WRI1005745;http://data.open-power-system-data.org/;Open Power System Data;;;;;;255.3986963
GuD;;{J};Germany;51.2214;6.7313;1;2000;;Open Power System Data;100;;Gas;;;;Stadtwerke D«¨sseldorf AG;WRI1005710;http://data.open-power-system-data.org/;Open Power System Data;;;;;;254.8889185
Obernburg;;{J};Germany;49.8293;9.1482;1;;;Open Power System Data;100;;Gas;;;;Kraftwerk Obernburg GmbH;WRI1005988;http://data.open-power-system-data.org/;Open Power System Data;;;;;;254.8889185
HKW West;;{J};Germany;50.0984;8.6531;1;1994;;Open Power System Data;99;;Gas;;;;Mainova AG;WRI1005816;http://data.open-power-system-data.org/;Open Power System Data;;;;;;252.3400293
Kraftwerk Plattling;;{J};Germany;48.7874;12.8825;1;2010;;Open Power System Data;97.9;;Gas;;;;Daimler AG / UPM GmbH;WRI1005891;http://data.open-power-system-data.org/;Open Power System Data;;;;;;249.5362512
ADS-Anlage;;{J};Germany;50.0918;8.5311;1;2012;;Open Power System Data;96.5;;Gas;;;;Infraserv GmbH & Co. H«Ùchst KG;WRI1005572;http://data.open-power-system-data.org/;Open Power System Data;;;;;;245.9678063
Heizkraftwerk Karlstra«?e 2;;{J};Germany;50.7338;7.0805;1;2013;;Open Power System Data;95;;Gas;;;;Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH;WRI1005749;http://data.open-power-system-data.org/;Open Power System Data;;;;;;242.1444725
Heizkraftwerk Sindelfingen;;{J};Germany;48.6972;8.9992;1;;;Open Power System Data;95;;Gas;;;;Daimler AG;WRI1005758;http://data.open-power-system-data.org/;Open Power System Data;;;;;;242.1444725
GTKW Darmstadt;;{J};Germany;49.8849;8.6501;1;2013;;Open Power System Data;94.6;;Gas;;;;HEAG S«¨dhessische Energie AG (HSE);WRI1005709;http://data.open-power-system-data.org/;Open Power System Data;;;;;;241.1249169
