name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
TPP Galati;;{J};Romania;45.436;27.9814;1;;;ENTSOE;346;;Gas;;;;;WRI1019102;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;836.5107399
TPP Bucuresti Vest;;{J};Romania;44.4233;25.979;1;;;ENTSOE;298;;Gas;;;;;WRI1019106;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;720.4630072
TPP Bucuresti Sud;;{J};Romania;44.4233;25.979;1;;;ENTSOE;280;;Gas;;;;;WRI1019107;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;676.9451074
TPP Brazi;;{J};Romania;44.8802;25.9988;1;2007;;ENTSOE;220;;Gas;;;;;WRI1019111;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;531.8854415
TPP Progresu;;{J};Romania;44.372;26.1073;1;;;ENTSOE;184;;Gas;;;;;WRI1019116;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;444.849642
Malzenice CCGT Power Plant Slovakia;;{J};Slovakia;48.4296;17.6978;1;;;GEODB;430;;Gas;;;;;GEODB0042638;http://globalenergyobservatory.org;GEODB;2017;;;;;956.2774725
PPC Bratislava CCGT CHP Power Plant Slovakia;;{J};Slovakia;48.1775;17.1548;1;;;GEODB;218;;Gas;;;;;GEODB0042640;http://globalenergyobservatory.org;GEODB;2017;;;;;484.8104396
Levice CCGT CHP Power Plant Slovakia;;{J};Slovakia;48.2022;18.597;1;;;GEODB;80;;Gas;;;;;GEODB0042639;http://globalenergyobservatory.org;GEODB;2017;;;;;177.9120879
Brestanica (TEB);;{J};Slovenia;45.9975;15.4796;1;;;ENTSOE;297;;Gas;;;;;WRI1022411;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;9.466;;374
BESOS  GRUPO 5;;{J};Spain;41.4196;2.2294;1;2010;;Red El«∏ctrica de Espa«Òa;1670.81;;Gas;;;;ENDESA GENERACION S.A.;WRI1006249;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;3019.372543
