Country;Type;EIC Code;Short Name;Name;nameShort
DE;Storage Facility;21W000000000065W;;UGS Epe Uniper L-Gas;UGS Epe L
DE;Storage Facility;21W000000000083U;;UGS Eschenfelden;UGS Eschenfelden
DE;Storage Facility;21W000000000059R;;UGS Etzel Erdgas Lager EGL;UGS Etzel
DE;Storage Facility;21W0000000000168;;UGS Etzel ESE (Uniper Energy Storage);UGS Etzel
DE;Storage Facility;21W000000000067S;;UGS Krummhorn;UGS Krummhorn
DE;SSO;21X000000001138C;VNG Gasspeicher GmbH;VNG Gasspeicher GmbH;VNG Gasspeicher GmbH
DE;Storage Facility;21W000000000120D;;UGS Etzel ESE (VNG);UGS Etzel
DE;Storage Facility;21W000000000023B;;UGS Kirchheiligen;UGS Kirchheiligen
DE;Storage Group;21W0000000000427;;VGS Storage Hub (Bernburg, Bad Lauchstädt);Bernburg
DK;SSO;21X000000001104T;GSD;Gas Storage Denmark (GSD);Gas Storage Denmark (GSD)
DK;Storage Group;45W000000000112V;;VGS GSD Gas Storage (Lille Torup, Stenlille);LilleTorup
ES;SSO;21X0000000013368;Enagás GTS;Enagas GTS S.A.U (ES);Enagas GTS S.A.U (ES)
ES;Storage Group;21W000000000032A;;VGS Enagás Basic Underground Storage (Serrablo, Yela, Gaviota, Marismas);Marismas
FR;SSO;21X000000001083B;Storengy;Storengy S.A.;Storengy S.A.
FR;Storage Group;21W000000000084S;;VGS SALINE (Tersanne, Etrez, Manosque);Etrez
FR;Storage Group;21W0000000000710;;VGS SEDIANE (Saint-Illiers, Beynes Superieur, Beynes Profond);BeynesProfond
FR;Storage Group;21W0000000000702;;VGS SEDIANE B (Gournay-sur-Aronde);GournaySurAronde
FR;Storage Group;21W000000000072Z;;VGS SEDIANE LITTORAL (Chémery, Céré-la-Ronde, Soings-en-Sologne);Chemery
FR;Storage Group;21W000000000073X;;VGS SERENE NORD (Trois Fontaines l’Abbaye, Cerville, Germiny-sous-Coulombs, Saint-Clair-sur-Epte);Cerville
FR;Storage Group;21W000000000069O;;VGS SERENE SUD (Chémery, Céré-la-Ronde, Soings-en-Sologne);Chemery
FR;SSO;21X-FR-B-A0A0A-J;TERÉGA;TERÉGA;TERÉGA
FR;Storage Group;21W000000000068Q;;VGS Lussagnet (TERÉGA);VGS Lussagnet
GB;SSO;23X-EDFE-------W;EDF;EDF Energy;EDF Energy
GB;Storage Facility;21Z000000000227R;;UGS Holehouse Farm Storage;UGS Holehouse Farm Storage
GB;SSO;55XHUMBLYGROVE1H;Humbly Grove Energy;Humbly Grove Energy Ltd;Humbly Grove Energy Ltd
GB;Storage Facility;55WHUMBLY1GROVER;;UGS Humbly Grove;UGS Humbly Grove
GB;SSO;23XSCOTTISHPOWEF;Scottish Power;Scottish Power Ltd;Scottish Power Ltd
GB;Storage Facility;21Z000000000229N;;UGS Hatfield Moors Storage;UGS Hatfield Moors Storage
GB;SSO;23X--140207-SSE9;SSE Gas Storage;SSE Gas Storage;SSE Gas Storage
GB;Storage Facility;55WALDBOROUGH00H;;UGS Aldbrough I;UGS Aldbrough I
GB;Storage Facility;55WATWICK-SSE00J;;UGS Atwick;UGS Atwick
GB;SSO;48XSTORENGYUK01P;Storengy UK;Storengy UK;Storengy UK
GB;Storage Facility;21W000000000101H;;UGS Stublach;UGS Stublach
GB;SSO;21X0000000013716;Uniper Energy Storage Ltd;Uniper Energy Storage Limited;Uniper Energy Storage Limited
GB;Storage Facility;21W000000000112C;;UGS Holford;UGS Holford
HR;SSO;31X-PSP-OSS-HR-D;PSP;Podzemno skladište plina d.o.o.;Podzemno skladište plina d.o.o.
HR;Storage Facility;21W000000000077P;;UGS Okoli;UGS Okoli
HU;SSO;21X0000000013635;Magyar Földgáztároló;MAGYAR FÖLDGÁZTÁROLÓ ZÁRTKÖRUEN MUKÖDO RÉSZVÉNYTÁRSASÁG;MAGYAR FÖLDGÁZTÁROLÓ ZÁRTKÖRUEN MUKÖDO RÉSZVÉNYTÁRSASÁG
HU;Storage Group;21W000000000087M;;VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló);Hajduszoboszlo
HU;SSO;21X0000000013643;MMBF;MMBF - Földgáztároló Zártköruen Muködo Részvénytársaság;MMBF - Földgáztároló Zártköruen Muködo Részvénytársaság
HU;Storage Facility;21W000000000086O;;UGS Szöreg-1;UGS Szöreg-1
IE;SSO;47X0000000000584;Kinsale Energy;PSE Kinsale Energy Limited;PSE Kinsale Energy Limited
IE;Storage Facility;47W000000000245J;;UGS Kinsale Southwest;UGS Kinsale Southwest
IT;SSO;21X0000000013651;Edison Stoccaggio;Edison Stoccaggio S.p.A.;Edison Stoccaggio S.p.A.
IT;Storage Group;21W000000000095N;;VGS Edison Stoccaggio (Collalto, Cellino, San Potito & Cotignola);Cellino
IT;SSO;59X4-IGSTORAGE-T;IGS;IGS S.p.A.;IGS S.p.A.
IT;Storage Facility;59W-IGSTORAGE-0Q;;UGS Cornegliano;UGS Cornegliano
IT;SSO;21X000000001250I;Stogit;Stogit S.p.A.;Stogit S.p.A.
