long,lat
-27.76634909,2.584667775
-30.2384255,-4.615127012
-39.33,1.89
-39.33,1.89
46.85,-16.17
46.85,-16.17
46.85,-16.17
46.85,-16.17
46.85,-16.17
-20.9,18.0
-20.9,18.0
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.331531397,-0.11
54.45516062,-56.98686588
54.45516062,-56.98686588
-10.43507275,29.76970473
-10.43507275,29.76970473
-10.43507275,29.76970473
-10.43507275,29.76970473
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-23.85271285,-8.990328373
-23.85271285,-8.990328373
-23.85271285,-8.990328373
-23.85271285,-8.990328373
0.909587983,-7.509970112
0.909587983,-7.509970112
0.909587983,-7.509970112
0.909587983,-7.509970112
6.790669197,-15.57752642
6.790669197,-15.57752642
6.790669197,-15.57752642
6.790669197,-15.57752642
5.27,-0.79
-22.37,17.22
-38.25928546,1.33733376
-38.25928546,1.33733376
-38.25928546,1.33733376
-38.25928546,1.33733376
75.28,-23.89
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
80.1,-35.47
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
-28.21,4.65
-28.21,4.65
-28.21,4.65
-28.21,4.65
115.71,5.62
128.8,4.04
127.44,-14.39
134.82,-9.58
126.91,4.87
130.47,4.07
108.59,11.57
121.73,6.36
65.39,44.78
65.39,44.78
8.752600084,12.1328314
8.752600084,12.1328314
-14.81,14.65
-14.81,14.65
-17.75,15.5
-17.75,15.5
-19.00463551,15.89564495
-19.00463551,15.89564495
-16.3,20.3
-16.3,20.3
-3.497761283,15.5622364
-3.497761283,15.5622364
-23.60268331,3.076149264
-10.9241741,1.374914478
-10.9241741,1.374914478
-20.08484231,19.19715978
-20.08484231,19.19715978
-17.01,17.98
-17.01,17.98
-16.0,-6.18
-9.14,-21.21
-46.49,24.1
-46.49,24.1
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-80.07,36.0
-80.07,36.0
-13.49,-20.72
-13.49,-20.72
-20.7,-19.64
-20.7,-19.64
-17.14,-19.48
-17.14,-19.48
66.8,52.38
66.8,52.38
-26.5,9.06
-26.5,9.06
-8.31,14.77
-8.31,14.77
-17.52291637,-6.472855493
-17.52291637,-6.472855493
-29.36,6.23
-29.36,6.23
-26.57720914,11.44170481
-26.57720914,11.44170481
-26.57720914,11.44170481
-26.57720914,11.44170481
-17.93,-5.05
-17.93,-5.05
-16.04,-31.28
-57.04,29.11
-30.54,-28.54
-30.54,-28.54
-2.77,-20.96
-1.54,-43.93
-52.12,27.92
-108.1860164,-52.70975012
-108.1860164,-52.70975012
9.36,-53.54
-36.0,7.14
-36.0,7.14
-33.2,7.14
-33.2,7.14
-0.57,-20.63
56.38,-53.28
56.38,-53.28
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-76.86,40.48
80.1,-35.47
80.1,-35.47
-73.87,-42.0
